	CC_ID	SRVs	PDB_arches	Uniprot_arches	Tot_nodes	Nodes
0	0	1659	105	160	171	5E9D_D,3N85_H,1YY9_D,5C6T_A,3D3V_E,3QIB_B,4NKQ_C,3H9S_A,1OGA_A,4P23_C,1BD2_D,3S9D_A,1KIQ_B,3D3V_C,1NMB_L,2I26_N,2BNR_A,2BNR_C,1N8Z_C,1A22_A,1KIR_A,1E50_A,5C6T_H,1QSE_C,4RS1_B,3QFJ_C,3HFM_Y,1DQJ_B,1DAN_T,2AK4_D,4I77_L,4JFE_C,1VFB_B,3QIB_D,4HRN_D,1DVF_C,2AK4_A,3N85_L,3SE8_L,1DQJ_A,3BN9_B,2OI9_Q,2NYY_A,5E9D_E,4L3E_A,2NZ9_A,2UWE_A,4P5T_C,2JCC_A,2B2X_H,1AO7_D,3SE9_H,1XGR_B,1DVF_B,2E7L_Q,3QDG_E,1MHP_H,3BN9_D,1N8Z_B,1CZ8_L,4KRL_B,1A22_B,3QIB_P,4KRO_B,4K71_B,4OZG_H,2BDN_L,1XGP_B,1BD2_A,1VFB_A,2NYY_C,1MI5_D,4P5T_D,1BJ1_H,1DAN_H,1JRH_L,1LP9_A,3LB6_A,1F5R_A,1MLC_B,4P23_D,4KRP_B,3SE4_B,1OGA_D,3SE9_L,1BD2_C,1IAR_A,3QIB_A,2AK4_C,3N06_A,3SE8_H,1H9D_B,4FTV_E,3NCB_A,1DAN_U,1YY9_C,3NPS_A,1AHW_C,3HFM_L,4B0M_B,3MZG_B,1EAW_A,3QDJ_D,4I77_H,2NYY_D,4OZG_G,1MHP_L,1FY8_E,3G6D_H,2AK4_E,4NKQ_B,1BP3_A,3PWP_C,4JFF_C,3L5X_L,3QDJ_E,2J8U_A,3QDJ_C,4L3E_D,4MNQ_C,3SE4_C,1DQJ_C,3QDG_D,1BD2_E,2VLR_E,1N8Z_A,1NMB_H,4B0M_M,3MZG_A,3NGB_L,2BDN_H,1AO7_C,1MI5_E,4B0M_A,2P5E_D,1VFB_C,1MLC_A,1AO7_A,3SE3_A,4FTV_A,3HFM_H,4RS1_A,5C6T_L,1AO7_E,1NCA_H,3N0P_A,1XGT_B,1E50_B,1XGQ_B,4L3E_E,1JRH_H,1DVF_D,3S9D_B,1KIP_B,1OGA_E,4JFD_C,1DVF_A,3C60_C,2BNQ_C,4FTV_D,1XGU_B,2B2X_L,3SE4_A,3C60_D,4K71_A,3NGB_H,3NCC_B,3TGK_E,1YQV_Y,3QIB_C,1JRH_I
1	1	49	2	2	3	1A4Y_B,1Z7X_W,1A4Y_A
2	2	44	0	110	18	1CSE_I,1SBN_I,1TMG_I,1Y1K_I,1Y33_I,1SIB_I,1TM3_I,1Y34_I,1Y3B_I,1TO1_I,1Y3C_I,1TM5_I,1TM7_I,1Y3D_I,1Y48_I,1TM4_I,1ACB_I,1TM1_I
3	3	17	0	0	2	1M9E_D,1AK4_D
4	4	38	5	23	10	1B2U_D,1BRS_A,1B3S_A,1B3S_D,1B2S_D,1BRS_D,1X1X_D,1X1W_D,1B2S_A,1B2U_A
5	5	40	0	2	2	1FSS_B,1B41_B
6	6	193	11	18	27	3KUD_A,5UFE_B,5UFE_A,3Q3J_B,4G0N_B,1XD3_B,3M63_A,3KUD_B,1K8R_B,2REX_B,1E96_A,1GRN_A,1LFD_B,2REX_A,5UFQ_A,3EG5_A,1GUA_B,5XCO_B,4G0N_A,1K8R_A,1C1Y_A,3M62_B,5XCO_A,1GUA_A,3M62_A,1C1Y_B,1LFD_A
7	7	54	1	0	3	1C4Z_D,1C4Z_A,1S1Q_A
8	8	71	0	55	11	3BTE_I,2FTL_I,3BTQ_I,1CBW_I,3BTF_I,3BTT_I,3BTG_I,3BTH_I,3BTM_I,3BTD_I,3BTW_I
9	9	779	0	155	20	1CT2_I,1SGN_I,1R0R_I,2NU0_I,1SGY_I,2SGP_I,1SGE_I,1CHO_I,2NU4_I,2NU2_I,1CT4_I,3SGB_I,2NU1_I,1SGQ_I,1CSO_I,1PPF_I,1SGP_I,1SGD_I,1CT0_I,2SGQ_I
10	10	9	0	0	2	1GCQ_C,1EFN_A
11	11	81	2	19	10	2VLN_B,1EMV_B,1FR2_A,1EMV_A,2VLO_B,2WPT_B,2VLP_B,2GYK_A,2WPT_A,2VLQ_B
12	12	21	0	1	2	1FC2_C,3MZW_B
13	13	2	0	1	2	1GL0_I,1GL1_I
14	14	17	0	1	3	1SBB_B,3W2D_A,1JCK_B
15	15	149	3	9	10	1JTD_B,3N4I_A,1S0W_C,1JTG_A,1JTD_A,1JTG_B,2G2U_B,2G2U_A,3QHY_B,2G2W_A
16	16	8	0	4	5	1KAC_A,2J12_A,1P6A_A,2J1K_C,1P69_A
17	17	8	0	1	2	1WQJ_I,2DSQ_I
18	18	15	2	1	5	2AJF_E,3KBH_E,2AJF_A,3KBH_A,4ZS6_A
19	19	28	0	3	4	2B0U_C,3HH2_C,3SEK_C,3B4V_C
20	20	16	1	14	7	2B0Z_B,2B12_B,2PCB_A,2PCC_B,2PCC_A,2B11_B,2B10_B
21	21	6	0	2	2	4RA0_C,2C5D_C
22	22	4	0	1	3	3D5R_C,2GOX_B,3D5S_C
23	23	8	0	0	2	2HLE_A,4L0P_A
24	24	5	2	0	2	2KSO_B,2KSO_A
25	25	7	0	3	4	4GXU_A,2VIS_C,2VIR_C,3LZF_A
26	26	22	0	0	3	3EQY_C,3LNZ_B,3EQS_B
27	27	11	1	2	5	5CYK_B,3NVN_A,3NVQ_A,3NVN_B,5CXB_B
28	28	9	1	1	4	3SF4_D,3SF4_A,4WND_A,4G2V_A
29	29	2	0	2	2	4MYW_B,3U82_B
30	30	6	0	1	2	3UIG_A,3UII_A
31	31	22	1	0	3	4BFI_B,4OFY_A,4OFY_D
32	32	4	1	1	3	4GNK_A,4EKD_A,4GNK_B
33	33	11	3	3	6	4NZW_A,4O27_A,4FZA_A,4FZA_B,4O27_B,4NZW_B
34	34	8	1	0	2	4HFK_B,4HFK_D
35	35	25	4	0	3	4PWX_A,4PWX_C,4PWX_B
36	36	17	4	3	8	4YFD_A,4YFD_B,4Y61_A,4YEB_B,4YH7_B,4YEB_A,4YH7_A,4Y61_B
37	37	6	1	0	2	4JEU_A,4JEU_B
38	38	13	2	0	2	5F4E_B,5F4E_A
39	39	19	1	0	2	1FFW_A,1FFW_B
40	40	5	1	0	2	2DVW_A,2DVW_B
41	41	10	2	0	2	3AAA_C,3AAA_A
42	42	5	2	0	2	4J2L_C,4J2L_A
43	43	2	1	0	2	3BP8_A,3BP8_C
44	44	14	2	0	2	5M2O_B,5M2O_A
45	45	27	2	0	2	1KTZ_B,1KTZ_A
46	46	3	2	0	2	1KBH_B,1KBH_A
47	47	7	1	0	2	5E6P_A,5E6P_B
48	48	13	2	0	2	1KNE_P,1KNE_A
49	49	3	1	0	2	2HRK_A,2HRK_B
50	50	8	1	0	2	4CVW_A,4CVW_C
