From	Entry	Reviewed	Length
A2NTY6	A2NTY6	unreviewed	144
W6A0A7	W6A0A7	unreviewed	1353
A0NA69	A0NA69	unreviewed	122
Q40059	Q40059	unreviewed	84
A2NTU7	A2NTU7	unreviewed	268
A0A0H3CIX8	A0A0H3CIX8	unreviewed	117
Q72497	Q72497	unreviewed	500
H2RG00	H2RG00	unreviewed	185
Q5D734	Q5D734	unreviewed	668
Q2YD82	Q2YD82	unreviewed	241
O48541	O48541	unreviewed	904
Q99LC4	Q99LC4	unreviewed	463
Q2V8X0	Q2V8X0	unreviewed	147
Q9ZND7	Q9ZND7	unreviewed	54
A3DGE8	A3DGE8	unreviewed	2177
Q8H0K8	Q8H0K8	unreviewed	402
Q8JGG7	Q8JGG7	unreviewed	108
A0A0H3CIJ2	A0A0H3CIJ2	unreviewed	163
Q93T42	Q93T42	unreviewed	309
A0ACD6B9A1	A0ACD6B9A1	unreviewed	135
A0AEF4	A0AEF4	unreviewed	2071
O87916	O87916	unreviewed	311
S6C4S0	S6C4S0	unreviewed	275
Q0ED31	Q0ED31	unreviewed	857
Q80S15	Q80S15	unreviewed	210
K7N5N2	K7N5N2	unreviewed	207
